city,temp,humid,wind,clouds,lat,lng,maxtemp,country,local_date_time
praia,69.8,78,13.8,20,14.9215,-23.5087,69.8,CV,2021-05-10 21:15:18
dubrovnik,59,72,5.75,0,42.6481,18.0922,59,HR,2021-05-11 00:12:41
hambantota,77,100,2.3,20,6.1241,81.1185,77,LK,2021-05-11 03:42:48
xining,54.9,48,2.1,73,36.6167,101.7667,54.9,CN,2021-05-11 06:16:57
okhotsk,39.22,65,4.9,79,59.3833,143.3,39.22,RU,2021-05-11 08:16:57
plettenberg bay,58.8,89,6.04,0,-34.0527,23.3716,58.8,ZA,2021-05-11 00:16:57
moosomin,49.39,40,6.49,85,50.1333,-101.6677,49.39,CA,2021-05-10 16:16:57
florianopolis,68.05,88,12.66,0,-27.6146,-48.5012,71.01,BR,2021-05-10 19:16:58
saint-francois,48.56,93,3.44,90,46.4154,3.9054,48.99,FR,2021-05-11 00:13:23
ancud,40.93,100,3.44,20,-41.8697,-73.8203,43,CL,2021-05-10 18:14:15
limon,78.44,84,4.92,85,10,-83.0333,78.44,CR,2021-05-10 16:16:58
vicksburg,67.1,100,3.44,90,32.3526,-90.8779,68,US,2021-05-10 17:16:58
esperance,59,100,16.11,9,-33.8667,121.9,59,AU,2021-05-11 06:13:15
bambous virieux,71.6,88,6.91,75,-20.3428,57.7575,71.6,MU,2021-05-11 02:12:41
vila velha,66.52,88,3.44,20,-20.3297,-40.2925,71.01,BR,2021-05-10 19:11:12
quetta,69.1,36,3.06,8,30.199,67.0097,69.1,PK,2021-05-11 03:16:59
noshiro,53.6,82,8.05,75,40.2039,140.0242,53.6,JP,2021-05-11 07:16:59
praia da vitoria,63.79,88,16.62,40,38.7333,-27.0667,64.4,PT,2021-05-10 22:16:59
fare,81.36,78,19.44,52,-16.7,-151.0167,81.36,PF,2021-05-10 12:13:15
alofi,78.8,73,20.71,100,-19.0595,-169.9187,78.8,NU,2021-05-10 11:13:16
patti,77,53,11.5,40,31.2808,74.8572,77,IN,2021-05-11 03:46:59
bilibino,29.25,80,0.45,78,68.0546,166.4372,29.25,RU,2021-05-11 10:13:41
hornepayne,33.19,91,9.6,100,49.2138,-84.7705,33.19,CA,2021-05-10 18:17:00
jiaojiang,77,93,1.99,100,28.6803,121.4428,77,CN,2021-05-11 06:17:00
hovd,43.95,28,3.62,21,48.0056,91.6419,43.95,MN,2021-05-11 05:17:00
nioro,79.12,40,8.84,3,13.35,-15.75,79.12,GM,2021-05-10 22:17:00
kununurra,87.8,27,19.57,0,-15.7667,128.7333,87.8,AU,2021-05-11 06:12:48
segezha,44.6,96,9.42,100,63.7415,34.3222,44.6,RU,2021-05-11 01:17:01
strezhevoy,50,62,4.47,0,60.7333,77.5889,50,RU,2021-05-11 05:14:15
ormara,83.61,71,19.46,4,25.2088,64.6357,83.61,PK,2021-05-11 03:17:01
mount isa,78.8,25,16.11,0,-20.7333,139.5,78.8,AU,2021-05-11 08:17:01
nikolskoye,52.3,62,6.71,0,59.7035,30.7861,55,RU,2021-05-11 01:17:01
vangaindrano,65.79,90,5.44,3,-23.35,47.6,65.79,MG,2021-05-11 01:17:02
bafq,70.75,40,5.86,3,31.6128,55.4107,70.75,IR,2021-05-11 02:47:02
mabaruma,72.63,98,3.69,97,8.2,-59.7833,72.63,GY,2021-05-10 18:17:02
thinadhoo,83.25,75,10.96,100,0.5333,72.9333,83.25,MV,2021-05-11 03:17:02
richards bay,62.87,84,4.23,0,-28.783,32.0377,62.87,ZA,2021-05-11 00:13:46
chilpancingo,71.26,81,6.42,81,17.55,-99.5,71.26,MX,2021-05-10 17:16:08
danville,64.4,77,5.75,90,36.586,-79.395,64.4,US,2021-05-10 18:17:03
kaele,80.1,58,10.22,82,10.1092,14.4508,80.1,CM,2021-05-10 23:17:03
flinders,65.53,68,1.99,14,-34.5833,150.8552,69.01,AU,2021-05-11 08:17:03
prince rupert,48.2,71,3.44,90,54.3161,-130.3201,48.2,CA,2021-05-10 15:12:02
lompoc,55.62,82,10.36,7,34.6391,-120.4579,55.99,US,2021-05-10 15:17:03
pudozh,47.3,83,8.32,83,61.8099,36.5345,47.3,RU,2021-05-11 01:17:04
luau,59.29,73,3.69,0,-10.7073,22.2247,59.29,AO,2021-05-10 23:17:04
abu dhabi,77.23,65,3.44,0,24.4667,54.3667,78.8,AE,2021-05-11 02:13:37
cap malheureux,69.8,94,5.75,40,-19.9842,57.6142,69.8,MU,2021-05-11 02:17:04
fairbanks,59.23,33,5.75,90,64.8378,-147.7164,61,US,2021-05-10 14:17:04
yellowknife,35.55,75,13.8,90,62.456,-114.3525,36,CA,2021-05-10 16:16:00
bathsheba,80.6,61,23.02,40,13.2167,-59.5167,80.6,BB,2021-05-10 18:17:05
san luis,50.29,52,11.23,27,-33.295,-66.3356,50.29,AR,2021-05-10 19:17:05
ballina,65.66,82,4.61,90,-28.8667,153.5667,66.2,AU,2021-05-11 08:17:05
quatre cocos,71.6,88,6.91,75,-20.2078,57.7625,71.6,MU,2021-05-11 02:14:11
reyes,69.35,85,1.28,29,-14.3167,-67.3833,69.35,BO,2021-05-10 18:17:05
kjopsvik,37.26,93,6.91,100,68.097,16.3742,41,NO,2021-05-11 00:17:05
santiago,55.63,62,2.3,0,-33.4569,-70.6483,57,CL,2021-05-10 18:17:06
comodoro rivadavia,46.4,61,3.44,0,-45.8667,-67.5,46.4,AR,2021-05-10 19:15:02
dalbandin,80.49,25,2.68,54,28.8947,64.4101,80.49,PK,2021-05-11 03:17:06
samarai,81.52,77,11.18,81,-10.6167,150.6667,81.52,PG,2021-05-11 08:17:06
dikson,32.34,97,14.16,100,73.5069,80.5464,32.34,RU,2021-05-11 05:17:07
chachapoyas,51.12,97,4.54,82,-6.2317,-77.869,51.12,PE,2021-05-10 17:17:07
deer lake,39.11,81,8.05,75,49.1667,-57.4316,39.2,CA,2021-05-10 19:47:07
sanchursk,47.26,93,9.71,84,56.9413,47.2499,47.26,RU,2021-05-11 01:17:07
fray bentos,50.43,65,7.76,100,-33.1325,-58.2956,50.43,UY,2021-05-10 19:17:07
inta,41.34,75,8.57,52,66.0317,60.1659,41.34,RU,2021-05-11 01:17:08
dwarka,83.32,72,14.34,9,22.2394,68.9678,83.32,IN,2021-05-11 03:47:08
